ProvTypeKh,ProvTypeEn,ShortName,Id,Name_EN,Name_KH,CountDist,CountComm,CountVill
ខេត្ត,Province,BMC,១.,Banteay Meanchey,បន្ទាយមានជ័យ,៩.,៦៥.,៦៤៤.
ខេត្ត,Province,BAT,២.,Battambang,បាត់ដំបង,១៤.,១០២.,៨០០.
ខេត្ត,Province,KPC,៣.,Kampong Cham,កំពង់ចាម,១០.,១០៩.,៩១៦.
ខេត្ត,Province,KCH,៤.,Kampong Chhnang,កំពង់ឆ្នាំង,៨.,៦៩.,៥៦០.
ខេត្ត,Province,KSP,៥.,Kampong Speu,កំពង់ស្ពឺ,៨.,៨៧.,១៣៣៧.
ខេត្ត,Province,KPT,៦.,Kampong Thom,កំពង់ធំ,៨.,៨១.,៧៤៨.
ខេត្ត,Province,KAM,៧.,Kampot,កំពត,៨.,៩៣.,៤៨៨.
ខេត្ត,Province,KDL,៨.,Kandal,កណ្ដាល,១១.,១២៧.,១០១០.
ខេត្ត,Province,KKG,៩.,Koh Kong,កោះកុង,៧.,២៩.,១១៧.
ខេត្ត,Province,KRT,១០.,Kratie,ក្រចេះ,៦.,៤៦.,២៥០.
ខេត្ត,Province,MKR,១១.,Mondul Kiri,មណ្ឌលគិរី,៥.,២១.,៩០.
រាជធានី,Capital,PNP,១២.,Phnom Penh,ភ្នំពេញ,១២.,៩៦.,៩០៤.
ខេត្ត,Province,PVR,១៣.,Preah Vihear,ព្រះវិហារ,៨.,៥១.,២២៩.
ខេត្ត,Province,PVG,១៤.,Prey Veng,ព្រៃវែង,១៣.,១១៦.,១១៣៧.
ខេត្ត,Province,PUR,១៥.,Pursat,ពោធិ៍សាត់,៦.,៤៩.,៥០៦.
ខេត្ត,Province,RAT,១៦.,Ratanak Kiri,រតនគិរី,៩.,៥០.,២៤៣.
ខេត្ត,Province,SRP,១៧.,Siemreap,សៀមរាប,១២.,១០០.,៨៧៦.
ខេត្ត,Province,SHV,១៨.,Preah Sihanouk,ព្រះសីហនុ,៤.,២៧.,១១១.
ខេត្ត,Province,STG,១៩.,Stung Treng,ស្ទឹងត្រែង,៥.,៣៤.,១២៨.
ខេត្ត,Province,SVR,២០.,Svay Rieng,ស្វាយរៀង,៨.,៨០.,៦៩០.
ខេត្ត,Province,TAK,២១.,Takeo,តាកែវ,១០.,១០០.,១១១៨.
ខេត្ត,Province,OMC,២២.,Oddar Meanchey,ឧត្ដរមានជ័យ,៥.,២៤.,២៦៩.
ខេត្ត,Province,KEP,២៣.,Kep,កែប,២.,៥.,១៨.
ខេត្ត,Province,PLN,២៤.,Pailin,ប៉ៃលិន,២.,៨.,៧៩.
ខេត្ត,Province,TKM,២៥.,Tboung Khmum,ត្បូងឃ្មុំ,៧.,៦៤.,៨៦៥.